ATC4;description_fr;description_nl
R03BC;Antiallergiques, sauf les corticostéroïdes;Anti-allergische middelen, excl. corticosteroïden
R03CC;Bêta-2 sympathicomimétiques sélectifs;Selectieve beta-2-sympathicomimetica
R03DA;Xanthines;Xanthinederivaten
R03DC;Antagonistes des récepteurs des leukotrienes;Leukotrieenreceptorantagonisten
R03DX;Autres prép. a usage systémique pour affections resp. obstructives;Overige systemische middelen voor obstruct. aandoeningen vd luchtwegen
R05CB;Mucolytiques;Mucolytica
R05DA;Alcaloïdes de l'opium et dérivés;Opiumalkaloïden en derivaten
R06AA;Ethers d'aminoalkyle;Aminoalkylethers
R06AB;Alkylamines substituées;Gesubstitueerde alkylaminen
R06AD;Dérivés des phénothiazines;Fenothiazinederivaten
R06AE;Dérivés de la pipérazine;Piperazinederivaten
R06AX;Autres antihistaminiques à usage systémique;Overige antihistaminica voor systemisch gebruik
R07AA;Surfactants pulmonaires;Longsurfactants
R07AB;Analeptiques respiratoires;Respiratoire analeptica
R07AX;Autres préparations pour le système respiratoire;Overige middelen voor het ademhalingsstelsel
S01AA;Antibiotiques;Antibiotica
S01AB;Sulfamides;Sulfonamiden
S01AD;Antiviraux;Antivirale middelen
S01AE;Fluoroquinolones;Fluorochinolonen
S01AX;Autres anti-infectieux;Overige anti-microbiële middelen
S01BA;Corticostéroïdes, monocomposés;Corticosteroïden, enkelvoudige
S01BC;Anti-inflammatoires non stéroïdiens;Niet-steroïdale anti-inflammatoire middelen
S01CA;Associations de corticostéroïdes et d'anti-infectieux;Corticosteroïden met anti-microbiële middelen
S01CC;Associations d'anti-inflammatoires non stéroïd. et d'anti-infectieux;Niet-steroïde anti-inflammatoire middelen met anti-microbiële middelen
S01EA;Sympathicomimétiques utilisés contre le glaucome;Sympathicomimetica voor glaucoom
S01EB;Parasympathicomimétiques;Parasympathicomimetica
S01EC;Inhibiteurs de l'anhydrase carbonique;Koolzuuranhydraseremmers
S01ED;Bêtabloquants;Beta-receptorblokkerende stoffen
S01EE;Analogues de la prostaglandine;Prostaglandineanalogen
S01EX;Autres préparations contre le glaucome;Overige glaucoommiddelen
S01FB;Sympathicomimétiques, sauf préparations contre le glaucome;Sympathicomimetica excl. glaucoommiddelen
S01KA;Substances viscoélastiques;Visco-elastische stoffen
S01LA;Antinéovascularisation agents;Antineovascularisation agents
S01XA;Autres produits à usage ophtalmique;Overige middelen voor oogheelkundig gebruik
S02CA;Corticostéroïdes associés à des anti-infectieux;Corticosteroïden met anti-microbiële middelen
S03AA;Anti-infectieux;Anti-microbiële middelen
S03BA;Corticostéroïdes;Corticosteroïden
S03CA;Corticostéroïdes associés à des anti-infectieux;Corticosteroïden met anti-microbiële middelen
V01AA;Extraits d'allergènes;Allergeenextracten
V03AB;Antidotes;Antidota
V03AC;Chelateurs du fer;IJzerchelerende middelen
V03AE;Produits pour le traitement de l'hyperkaliémie;Middelen bij hyperkaliëmie
V03AF;Produits détoxifiants lors de traitements antinéoplasiques;Beschermende middelen voor anti-neoplastische behandeling
V03AG;Produits pour le traitement de l'hypercalcémie;Middelen bij hypercalciemie
V03AK;Adhésifs tissulaires;Weefsellijmen
V03AN;Gaz médicinaux;Medicinale gassen
V04CD;Test pour la fonction hypophysaire;Diagnostica voor hypofysefunctie
V04CJ;Tests pour la fonction thyroïdienne;Diagnostica voor schildklierfunctie
V04CM;Tests pour les troubles de la fertilité;Diagnostica voor vruchtbaarheidsstoornissen
V04CX;Autres agents de diagnostic;Overige diagnostica
V06CA;Aliments sans phénylalanine;Voedingsstoffen zonder fenylalanine
V06DE;Acides aminés et hydrates de carbone, minéraux et vitamines;Aminozuren met koolhydraten, mineralen en vitaminen
V07AB;Solvants et diluants, solutions d'irrigation incluses;Oplos- en verdunningsmiddelen, inclusief irrigatievloeistoffen
V08AA;Produits de contraste solubles, néphrotropes et de haute osmolarité;Wateroplosb., nefrotropische, rontgencontr.midd. met hoge osmolariteit
V08AB;Produits de contraste solubles, néphrotropes, de faible osmolarité;Wateroplosb., nefrotropische, rontgencontr.midd. met lage osmolariteit
V08AC;Produits de contraste solubles, hépatotropes;Wateroplosbare, hepatotropische rontgencontrastmiddelen
V08AD;Produits de contraste insolubles dans l'eau;Niet wateroplosbare rontgencontrastmiddelen
V08CA;Produits de contraste paramagnétiques;Paramagnetische contrastmiddelen
V08CB;Produits de contraste superparamagnétiques;Superparamagnetische contrastmiddelen
V08DA;Produits de contraste pour ultrasons;Contrastmiddelen voor ultrason
V09IB;Préparations d'indium (111 in);Indium (111 in) verbindingen
V10XX;Divers produits radiopharmaceutiques thérapeutiques;Diverse radiofarmaca voor therapie
