ATC4;description_fr;description_nl
S01AB;Sulfamides;Sulfonamiden
S01AD;Antiviraux;Antivirale middelen
S01AX;Autres anti-infectieux;Overige anti-microbiële middelen
S01BA;Corticostéroïdes, monocomposés;Corticosteroïden, enkelvoudige
S01BB;Associations de mydriatiques et de corticostéroïdes;Corticosteroïden met mydriatica
S01BC;Anti-inflammatoires non stéroïdiens;Niet-steroïdale anti-inflammatoire middelen
S01CA;Associations de corticostéroïdes et d'anti-infectieux;Corticosteroïden met anti-microbiële middelen
S01CB;Associations corticostéroïde/anti-infectieux/sympthomimétique;Corticosteroïden met anti-microbiële middelen en sympathicomimetica
S01CC;Associations d'anti-inflammatoires non stéroïd. et d'anti-infectieux;Niet-steroïde anti-inflammatoire middelen met anti-microbiële middelen
S01EA;Sympathicomimétiques utilisés contre le glaucome;Sympathicomimetica voor glaucoom
S01EB;Parasympathicomimétiques;Parasympathicomimetica
S01EC;Inhibiteurs de l'anhydrase carbonique;Koolzuuranhydraseremmers
S01ED;Bêtabloquants;Beta-receptorblokkerende stoffen
S01EX;Autres préparations contre le glaucome;Overige glaucoommiddelen
S01FA;Anticholinergiques;Parasympathicolytica
S01FB;Sympathicomimétiques, sauf préparations contre le glaucome;Sympathicomimetica excl. glaucoommiddelen
S01GA;Sympathicomimétiques utilisés comme décongestionnants;Sympathicomimetica aangewend als decongestiva
S01GX;Autres antiallergiques;Overige allergiemiddelen
S01HA;Anesthésiques locaux;Anesthetica, lokale
S01JA;Colorants;Kleurstoffen
S01JX;Autres agents de diagnostic;Overige diagnostica
S01KA;Substances viscoélastiques;Visco-elastische stoffen
S01KX;Autres produits chirurgicaux;Overige chirurgische hulpmiddelen
S01XA;Autres produits à usage ophtalmique;Overige middelen voor oogheelkundig gebruik
S02AA;Anti-infectieux;Anti-microbiële middelen
S02BA;Corticostéroïdes;Corticosteroïden
S02CA;Corticostéroïdes associés à des anti-infectieux;Corticosteroïden met anti-microbiële middelen
S02DA;Analgésiques et anesthésiques;Analgetica en anesthetica
S02DC;Préparations inertes;Indifferente preparaten
S03AA;Anti-infectieux;Anti-microbiële middelen
S03BA;Corticostéroïdes;Corticosteroïden
S03CA;Corticostéroïdes associés à des anti-infectieux;Corticosteroïden met anti-microbiële middelen
V01AA;Extraits d'allergènes;Allergeenextracten
V03AA;Produits pour le traitement de l'alcoolisme chronique;Middelen voor de behandeling van chronisch alcoholisme
V03AB;Antidotes;Antidota
V03AC;Chelateurs du fer;IJzerchelerende middelen
V03AE;Produits pour le traitement de l'hyperkaliémie;Middelen bij hyperkaliëmie
V03AF;Produits detoxifiants lors de traitements antinéoplasiques;Beschermende middelen voor anti-neoplastische behandeling
V03AG;Produits pour le traitement de l'hypercalcémie;Middelen bij hypercalciëmie
V03AH;Produits pour le traitement de l'hypoglycémie;Middelen bij hypoglykemie
V03AK;Adhésifs tissulaires;Weefsellijmen
V03AM;Produits pour embolisation;Middelen voor embolisatie
V03AN;Gaz médicinaux;Medicinale gassen
V03AX;Autres produits thérapeutiques;Overige therapeutische middelen
V03AZ;Neurodépresseurs;Neurodepressieve middelen
V04CA;Tests pour le diabète;Diagnostica voor diabetes mellitus
V04CB;Test pour l'absorption des graisses;Diagnostica voor vetabsorptie
V04CC;Test pour la fonction vésiculaire;Diagnostica voor galblaasfunctie
V04CD;Test pour la fonction hypophysaire;Diagnostica voor hypofysefunctie
V04CE;Tests pour la fonction hépatique;Diagnostica voor leverfunctie
V04CF;Diagnostics de la tuberculose;Diagnostica voor tuberculose
V04CG;Tests pour la sécrétion gastrique;Diagnostica voor maagzuursecretie
V04CH;Tests pour la fonction rénale;Diagnostica voor nierfunctie
V04CJ;Tests pour la fonction thyroïdienne;Diagnostica voor schildklierfunctie
V04CK;Tests pour la fonction pancréatique;Diagnostica voor pancreasfunctie
V04CL;Tests pour les maladies allergiques;Diagnostica voor allergische reacties
V04CM;Tests pour les troubles de la fertilité;Diagnostica voor vruchtbaarheidsstoornissen
V04CX;Autres agents de diagnostic;Overige diagnostica
V06AA;Diètes à faible énergie;Energie-arme voeding
V06CA;Aliments sans phénylalanine;Voedingsstoffen zonder fenylalanine
V06DA;Hydrates de carbone, protéines, minéraux, vitamines associées;Koolhydraten met eiwitten, mineralen en vitaminen
V06DB;Graisses et hydrates de carbone, protéines, minéraux, vitamines;Vet met koolhydraten, eiwitten, mineralen en vitaminen
V06DC;Hydrates de carbone;Koolhydraten
V06DD;Acides aminés, associations avec les polypeptides incluses;Aminozuren, inclusief combinatiepreparaten met polypeptiden
V06DE;Acides amines et hydrates de carbone, minéraux et vitamines;Aminozuren met koolhydraten, mineralen en vitaminen
V06DF;Succédanés du lait;Melkvervangende middelen
V06DX;Autres associations d'aliments;Overige voedingsstoffen combinaties
V07AA;Emplâtres;Pleisters
V07AB;Solvants et diluants, solutions d'irrigation incluses;Oplos- en verdunningsmiddelen, inclusief irrigatievloeistoffen
V07AC;Produits pour la transfusion sanguine;Hulpstoffen bij bloedtransfusie
V07AD;Produits pour les tests sanguins;Hulpstoffen bij bloedproeven
V07AN;Matériel d'incontinence;Incontinentiemateriaal
V07AR;Tests de sensibilité, disques et comprimés;Gevoeligheidstesten, discs en tabletten
V07AS;Equipements pour les stomies;Stoma-artikelen
V07AT;Cosmétiques;Cosmetica
V07AV;Désinfectants techniques;Technische desinfectantia
V07AX;Détergents etc.;Wasmiddelen etc.
V07AY;Autres produits auxiliaires non thérapeutiques;Overige niet-therapeutische hulpmiddelen
V07AZ;Produits chimiques et réactifs pour analyse;Chemicaliën en reagentia
V08AA;Produits de contraste solubles, néphrotropes et de haute osmolarité;Wateroplosb., nefrotropische, rontgencontr.midd. met hoge osmolariteit
V08AB;Produits de contraste solubles, néphrotropes, de faible osmolarité;Wateroplosb., nefrotropische, rontgencontr.midd. met lage osmolariteit
V08AC;Produits de contraste solubles, hépatotropes;Wateroplosbare, hepatotropische rontgencontrastmiddelen
V08AD;Produits de contraste insolubles dans l'eau;Niet wateroplosbare rontgencontrastmiddelen
V08BA;Produits de contraste contenant du sulfate de baryum;Rontgencontrastmiddelen met bariumsulfaat
V08CA;Produits de contraste paramagnétiques;Paramagnetische contrastmiddelen
V08CB;Produits de contraste superparamagnétiques;Superparamagnetische contrastmiddelen
V08CX;Autres produits de contraste pour imagerie rmn;Overige NMR contrastmiddelen
V08DA;Produits de contraste pour ultrasons;Contrastmiddelen voor ultrason
V09AA;Préparations de technetium (99m tc);Technetium (99m tc) preparaten
V09AB;Préparations d'iode (123 i);Jood (123 i) preparaten
V09AX;Autres produits radiopharmaceutiques pour le système nerveux central;Overige radiofarmaca voor het centraal zenuwstelsel
V09BA;Préparations de technetium (99m tc);Technetium (99m tc) preparaten
V09CA;Préparations de technetium (99m tc);Technetium (99m tc) preparaten
V09CX;Autres produits radiopharmaceutiques pour le système rénal;Overige diagnostische radiofarmaca voor het renaal systeem
V09DA;Préparations de technetium (99m tc);Technetium (99m tc) preparaten
V09DB;Technetium (99m tc), particules et colloïdes;Technetium (99m tc), partikels en colloïden
V09DX;Autres produits radiopharmac. pour le système hépatique et le s.r.e.;Overige diagnostische radiofarmaca voor het hepatisch & RES systeem
V09EA;Technetium (99m tc), préparations à inhaler;Technetium (99m tc), inhalatiepreparaten
V09EB;Technetium (99m tc), particules pour injection;Technetium (99m tc), partikels voor injectie
V09EX;Autres produits radiopharmaceutiques pour le système respiratoire;Overige diagnostische radiofarmaca voor de luchtwegen
V09FX;Divers produits radiopharmaceutiques de diagnostic pour la thyroïde;Diverse diagnostische radiofarmaca voor de schildklier
V09GA;Préparations de technetium (99m tc);Technetium (99m tc) preparaten
V09GB;Préparations d'iode (125 i);Jood (125 i) preparaten
V09GX;Autres produits radiopharmaceutiques pour le système cardio-vasculaire;Overige diagnostische radiofarmaca voor het cardiovasculair stelsel
V09HA;Préparations de technetium (99m tc);Technetium (99m tc) preparaten
V09HB;Préparations d'indium (111 in);Indium (111 in) preparaten
V09HX;Autres prod. radiopharmac. pour détection d'inflammation et infection;Overige diagn. radiofarmaca voor detectie van inflammatie en infectie
V09IA;Préparations de technetium (99m tc);Technetium (99m tc) preparaten
V09IB;Préparations d'indium (111 in);Indium (111 in) preparaten
V09IX;Autres produits radiopharmaceutiques pour la détection de tumeurs;Overige diagnostische radiofarmaca voor tumordetectie
V09XA;Préparations d'iode (131 i);Jood (131 i) preparaten
V09XX;Divers produits radiopharmaceutiques de diagnostic;Diverse diagnostische radiofarmaca
V10AA;Préparations d'yttrium (90 y);Yttrium (90 y) preparaten
V10AX;Autres produits radiopharmaceutiques anti-inflammatoires;Overige therapeutische anti-inflammatoire radiofarmaca
V10BX;Divers antidouleurs palliatifs radiopharmaceutiques;Diverse radiofarmaca voor pijnpalliatie
V10XA;Préparations d'iode (131 i);Jood (131 i) preparaten
V10XX;Divers produits radiopharmaceutiques thérapeutiques;Diverse therapeutische radiofarmaca
Z01ZZ;Non exploitable;Niet exploiteerbaar
H02BX;Corticostéroïdes à usage systémique, associations;Corticosteroïden voor systemisch gebruik, combinaties
H02CA;Anticorticostéroïdes;Anticorticosteroïden
H03AA;Hormones thyroïdiennes;Schildklierhormonen
H03BA;Dérivés du thiouracile;Thiouracilderivaten
H03BB;Dérivés imidazoles soufres;Zwavelbevattende imidazolederivaten
H03BC;Perchlorates;Perchloraten
H03BX;Autres thyréostatiques;Overige thyreostatica
H03CA;Préparations d'iode;Joodpreparaten
H04AA;Hormones glycogenolytiques;Glycogenolytische hormonen
H05AA;Hormones parathyroïdes;Bijschildklierhormonen
H05BA;Calcitonine;Calcitonine
J01AA;Tétracyclines;Tetracyclines
J01BA;Amphénicoles;Amfenicolen
J01CA;Pénicillines à large spectre;Penicillines met breed spectrum
J01CE;Pénicillines sensibles aux bêtalactamases;Betalactamase-gevoelige penicillines
J01CF;Pénicillines résistantes aux bêtalactamases;Betalactamase-resistente penicillines
J01CG;Inhibiteurs de la bêtalactamase;Betalactamase-remmers
J01CR;Associations de pénicillines, inhib. de la bêtalactamase inclus;Combinatiepreparaten van penicillines, incl. betalactamase-remmers
J01DA;Céphalosporines et apparentés;Cefalosporines en verwante verbindingen
J01DF;Monobactâmes;Monobactam-antibiotica
J01DH;Carbapenèmes;Carbapenem-antibiotica
J01EA;Trimethoprim et dérivés;Trimethoprim en afgeleiden
J01EB;Sulfamides à action courte;Kortwerkende sulfonamiden
J01EC;Sulfamides à action intermédiaire;Middellang werkende sulfonamiden
J01ED;Sulfamides à action longue;Langwerkende sulfonamiden
J01EE;Associations de sulfamides et de trimethoprim, dérivés inclus;Sulfonamiden met trimethoprim incl. afgeleiden
J01FA;Macrolides;Macroliden
J01FF;Lincosanides;Lincosamiden
J01FG;Streptogramines;Streptograminen
J01GA;Streptomycines;Streptomycinen
J01GB;Autres aminoglycosides;Overige aminoglycosiden
J01MA;Fluoroquinolones;Fluorochinolonen
J01MB;Autres quinolones (sauf G04AB);Overige chinolonen (excl. G04AB)
J01RA;Associations d'antibactériens;Combinatiepreparaten van antibacteriële middelen
J01XA;Glycopeptides;Glycopeptiden
J01XB;Polymyxines;Polymyxines
J01XC;Stéroïdes antibactériens;Steroïde anti-bacteriële middelen
J01XD;Dérivés de l'imidazole;Imidazolederivaten
J01XE;Dérivés du nitrofurane;Nitrofuraanderivaten
J01XX;Autres antibactériens;Overige anti-bacteriële middelen
J02AA;Antibiotiques;Antibiotica
J02AB;Dérivés de l'imidazole;Imidazolederivaten
J02AC;Dérivés triazoles;Triazolederivaten
J02AX;Autres antimycosiques à usage systémique;Overige antimycotica voor systemisch gebruik
J04AA;Acide aminosalicylique et ses dérivés;Aminosalicylzuur en derivaten
J04AB;Antibiotiques;Antibiotica
J04AC;Hydrazides;Hydraziden
J04AD;Dérivés de la thiocarbamide;Thioureumderivaten
J04AK;Autres antituberculeux;Overige tuberculosemiddelen
J04AM;Associations d'antituberculeux;Combinatiepreparaten van tuberculosemiddelen
J04BA;Antilépreux;Lepramiddelen
J05AA;Thiosemicarbazones;Thiosemicarbazonen
J05AB;Nucléosides et nucléotides, excl. inhib. de la transcriptase reverse;Nucleosiden en nucleotiden, excl. inhib. van het reverse transcriptase
J05AC;Aminés cycliques;Cyclische aminen
J05AD;Dérivés de l'acide phosphonique;Fosfonzuurderivaten
J05AE;Inhibiteurs de la protéase;Protease-inhibitoren
J05AF;Inhibiteurs nucléosidiques de la transcriptase reverse;Inhibitoren van het reverse transcriptase (nucleosiden)
J05AG;Inhibiteurs non-nucléosidiques de la transcriptase reverse;Inhibitoren van het reverse transcriptase (niet-nucleosiden)
J05AH;Inhibiteurs de la neuraminidase;Neuraminidase-inhibitoren
J05AX;Autres antiviraux;Overige antivirale middelen
J06AA;Sérums immunes;Immuunsera
J06BA;Immunoglobulines humaines normales;Normaal humaan immunoglobuline
J06BB;Immunoglobulines spécifiques;Specifieke immunoglobulinen
J06BC;Autres immunoglobulines;Overige immunoglobulinen
J07AC;Vaccins de l'anthrax;Anthraxvaccins
J07AD;Vaccins de la brucellose;Brucellosevaccins
J07AE;Vaccins du choléra;Chloleravaccins
J07AF;Vaccin de la diphtérie;Difterievaccins
J07AG;Vaccin contre l'hémophilus influenzae B;Hemophilus influenzae B-vaccins
J07AH;Vaccins méningococciques;Meningokokkenvaccins
J07AJ;Vaccins de la coqueluche;Pertussis (kinkhoest) vaccins
J07AK;Vaccins de la peste;Pestvaccins
J07AL;Vaccins pneumococciques;Pneumokokkenvaccins
J07AM;Vaccin antitétanique;Tetanusvaccins
J07AN;Vaccin antituberculeux;Tuberculosevaccins
J07AP;Vaccins du typhus;Tyfusvaccins
J07AR;Vaccin du typhus exanthematique;Vlektyfusvaccins
J07AX;Autres vaccins antibactériens;Overige bacteriële vaccins
J07BA;Vaccins de l'encéphalite;Encephalitisvaccins
J07BB;Vaccins anti-influenza;Influenzavaccins
J07BC;Vaccins de l'hépatite;Hepatitisvaccins
J07BD;Vaccins de la rougeole;Mazelenvaccins
J07BE;Vaccins des oreillons;Bofvaccins
J07BF;Vaccins de la poliomyélite;Poliomyelitisvaccins
J07BG;Vaccins antirabiques;Rabiësvaccins
J07BH;Vaccins de la diarhée à rotavirus;Rotavirusdiarreevaccins
J07BJ;Vaccins de la rubéole;Rubellavaccins
J07BK;Vaccins de la varicelle;Varicellavaccins
J07BL;Vaccins de la fièvre jaune;Gele koorts vaccins
J07BX;Autres vaccins antiviraux;Overige virale vaccins
J07CA;Associations de vaccins antibactériens et antiviraux;Bacteriële vaccins met virale vaccins
L01AA;Analogues de la moutarde à l'azote;Stikstofmosterdderivaten
L01AB;Alkylsulphonates;Alkylsulfonaten
L01AC;Ethyleneimines;Ethyleeniminen
L01AD;Dérivés de la nitrosurée;Nitroso-ureumderivaten
L01AG;Epoxides;Epoxiden
L01AX;Autres agents alkylants;Overige alkylerende middelen
L01BA;Analogues de l'acide folique;Foliumzuuranalogen
L01BB;Analogues des purines;Purinederivaten
L01BC;Analogues des pyrimidines;Pyrimidinederivaten
L01CA;Alcaloïdes de la pervenche et ses analogues;Vinca-alkaloïden en derivaten
L01CB;Dérivés de la podophyllotoxine;Podofyllotoxinederivaten
L01CC;Dérivés de la colchicine;Colchicinederivaten
L01CD;Taxanes;Taxanen
L01CX;Autres alcaloides et produits naturels;Overige alkaloiden en natuurlijke producten
L01DA;Actinomycines;Actinomycinen
L01DB;Anthracyclines et apparentés;Anthracyclinen en aanverwanten
L01DC;Autres antibiotiques cytostatiques;Overige cytotoxische antibiotica
L01XA;Dérivés du platine;Platinaverbindingen
L01XB;Méthylhydrazines;Methylhydrazinen
L01XC;Anticorps monoclonaux;Monoclonale antilichamen
L01XD;Préparations pour une thérapie photodynamique;Middelen voor fotodynamische behandeling
L01XX;Autres cytostatiques;Overige cytostatica
L01XY;Associations de cytostatiques;Combinaties van cytostatica
L02AA;Oestrogènes;Oestrogenen
L02AB;Progestatifs;Progestagenen
L02AE;Analogues de la gonadoréline;Gonadoreline-analogen
L02AX;Autres hormones;Overige hormonen
L02BA;Anti-oestrogènes;Anti-oestrogenen
L02BB;Anti-androgènes;Anti-androgenen
L02BG;Inhibiteurs d'enzymes;Enzymremmers
L03AA;Facteurs de croissance des colonies;Colony-stimulating factors (bloedgroeifactoren)
L03AB;Interférons;Interferonen
L03AC;Interleukines;Interleukines
L03AX;Autres cytokines et immunomodulateurs;Overige cytokines en immunomodulerende middelen
L04AA;Immunosuppresseurs sélectifs;Selectieve immunosuppressiva
L04AX;Immunosuppresseurs divers;Overige immunosuppressiva
M01AA;Dérivés de la pyrazolone;Pyrazolinonderivaten
M01AB;Dérivés de l'acide acétique et substances apparentées;Azijnzuurderivaten en verwante stoffen
M01AC;Oxicames;Oxicamderivaten
M01AE;Dérivés de l'acide propionique;Propionzuurderivaten
M01AG;Fenamates;Fenamaten
M01AH;Coxibs;Coxibs
M01AX;Autres anti-inflammatoires/antirhumastismaux non stéroïdiens;Overige niet-steroïde anti-inflammatoire/anti-rheumatische middelen
M01BA;Anti-inflammatoires/antirhumatismaux et corticostéroïdes;Anti-inflammatoire en anti-reumatische middelen met corticosteroïden
M01BX;Autres anti-inflammatoires/antirhumat., assoc. avec autres produits;Overige anti-inflammat./anti-reum. middelen, comb. met andere middelen
M01CA;Quinolines;Chinolinederivaten
M01CB;Chrysothérapie;Goudpreparaten
M01CC;Pénicillamine et apparentés;Penicillamine en aanverwante middelen
M01CX;Autres antirhumatismaux spécifiques;Overige specifiek anti-reumatische middelen
M02AA;Anti-inflammatoires non stéroïdiens à usage local;Lokale niet-steroïde anti-inflammatoire middelen
M02AB;Préparations à base de capsicum et analogues;Capsicumpreparaten en analogen
M02AC;Préparations à base de dérivés de l'acide salicylique;Preparaten met salicylzuurderivaten
M02AX;Autres anti-inflammatoires/antirhumatismaux topiques;Overige lokale middelen bij spier- en gewrichtspijn
M03AA;Alcaloïdes du curare;Curare alkaloïden
M03AB;Dérivés de la choline;Cholinederivaten
M03AC;Autres ammoniums quaternaires;Overige kwaternaire ammoniumverbindingen
M03AX;Autres myorelaxants à action périphérique;Overige perifeer werkende spierrelaxantia
M03BA;Esters de l'acide carbamique;Carbaminezuuresters
M03BB;Dérivés de l'oxazole, des thiazines et triazines;Oxazole-, thiazine-, triazinederivaten
M03BC;Ethers chimiquement proches des antihistaminiques;Ethers, chemisch verwant aan antihistaminica
M03BX;Autres agents à action centrale;Overige centraal werkende middelen
M03CA;Dantrolene et ses dérivés;Dantroleen en derivaten
M04AA;Inhibiteurs de la production d'acide urique;Middelen met remmende werking op de urinezuurproduktie
M04AB;Stimulants de l'excrétion d'acide urique;Middelen met versnellende werking op de urinezuurexcretie
M04AC;Préparations sans effet sur le métabolisme de l'acide urique;Verbindingen zonder werking op het urinezuurmetabolisme
M04AX;Autres antigoutteux;Overige jichtmiddelen
M05BA;Biphosphonates;Bisfosfonaten
M05BB;Biphosphonates et calcium, préparations séquentielles;Bisfosfonaten met calcium, sequentiële preparaten
M05BC;Protéines osseuses morphogénétiques;Morfogenetische botproteinen
M05BX;Autres préparations affectant la minéralisation;Overige middelen met invloed op de mineralisatie
M09AA;Quinine et ses dérivés;Kinine en derivaten
M09AB;Enzymes;Enzymen
M09AX;Système musculaire et squelettique, autres préparations;Overige middelen voor aandoeningen van het skeletspierstelsel
N01AA;Ethers;Ethers
N01AB;Hydrocarbures halogènes;Gehalogeneerde koolwaterstoffen
N01AF;Barbituriques, monocomposés;Barbituraten, enkelvoudig
N01AG;Barbituriques associés à d'autres produits;Barbituraten met andere middelen
N01AH;Opiacés anesthésiques;Opioïde anesthetica
N01AX;Autres anesthésiques généraux;Overige algemene anesthetica
N01BA;Esters de l'acide aminobenzoique;Esters van aminobenzoezuur
N01BB;Amides;Amiden
N01BC;Esters de l'acide benzoique;Esters van benzoëzuur
N01BX;Autres anesthésiques locaux;Overige lokale anesthetica
N02AA;Alcaloïdes naturels de l'opium;Natuurlijke opiumalkaloïden
N02AB;Dérivés de la phénylpipéridine;Fenylpiperidinederivaten
N02AC;Dérivés de la diphénylpropylamine;Difenylpropylaminederivaten
N02AD;Dérivés du benzomorphane;Benzomorfanderivaten
N02AE;Dérivés de l'oripavine;Oripavinederivaten
N02AF;Dérivés du morphinane;Morfinanderivaten
N02AG;Opiacés associés avec des spasmolytiques;Opioïden met spasmolytica
N02AX;Autres opiacés;Overige opioïden
N02BA;Acide salicylique et ses dérivés;Salicylzuur en derivaten
N02BB;Dérivés de la pyrazolone;Pyrazolonderivaten
N02BE;Anilides;Aniliden
N02BG;Autres analgésiques et antipyrétiques;Overige analgetica en antipyretica
N02CA;Alcaloïdes de l'ergot;Moederkoren-alkaloïden
N02CB;Dérivés des corticostéroïdes;Corticosteroïd-derivaten
N02CC;Antagonistes des récepteurs 5ht1 sélectifs;Selectieve 5ht1-receptoragonisten
N02CX;Autres antimigraineux;Overige migrainemiddelen
N03AA;Barbituriques et dérivés;Barbituraten en verwante verbindingen
N03AB;Dérivés de l'hydantoine;Hydantoinederivaten
N03AC;Dérivés de l'oxazolidine;Oxazolidinederivaten
N03AD;Dérivés succinimides;Succinimidederivaten
N03AE;Dérivés des benzodiazépines;Benzodiazepinederivaten
N03AF;Dérivés carboxamides;Carboxamidederivaten
N03AG;Dérivés des acides gras;Vetzuurderivaten
N03AX;Autres antiépileptiques;Overige anti-epileptica
N04AA;Aminés tertiaires;Tertiaire aminen
N04AB;Ethers chimiquement proches des antihistaminiques;Ethers, chemisch verwant aan antihistaminica
N04AC;Ethers du tropane ou de dérivés du tropane;Ethers van tropine of tropinederivaten
N04BA;Dopa et ses dérivés;Dopa en -derivaten
N04BB;Dérivés de l'adamantane;Adamantaanderivaten
N04BC;Antagonistes de la dopamine;Dopamine-agonisten
N04BD;Inhibiteurs des monoamine oxydase de type B;Mao-remmers type B
N04BX;Autres antagonistes de la dopamine;Overige dopaminergica
N05AA;Phénothiazines substitués avec une chaîne aliphatique;Fenothiazinen met alifatische zijketen
N05AB;Phénothiazines avec une structure pipérazinique;Fenothiazinen met piperazinestructuur
N05AC;Phénothiazines avec une structure pipéridinique;Fenothiazinen met piperidinestruktuur
N05AD;Dérivés de la butyrophénone;Butyrofenonderivaten
N05AE;Dérivés indoliques;Indolederivaten
N05AF;Dérivés du thioxanthène;Thioxantheenderivaten
N05AG;Dérivés de la diphénylbutylpipéridine;Difenylbutylpiperidinederivaten
N05AH;Diazépines, oxazépines et thiazépines;Diazepinen, oxazepinen en thiazepinen
N05AK;Neuroleptiques pour la dyskinésie tardive;Neuroleptica voor tardieve dyskinesie
N05AL;Benzamides;Benzamiden
N05AN;Sels de lithium;Lithiumzouten
N05AX;Autres antipsychotiques (neuroleptiques);Overige antipsychotica (neuroleptica)
N05BA;Benzodiazépines;Benzodiazepinederivaten
N05BB;Dérivés du diphénylmethane;Difenylmethaanderivaten
N05BC;Carbamates;Carbamaten
N05BD;Dérivés du dibenzo-bicyclo-octadiene;Dibenzo-bicyclo-octadieenderivaten
N05BE;Dérivés de l'azaspirodecanedione;Azaspirodecaandionderivaten
N05BX;Autres anxiolytiques;Overige anxiolytica
N05CA;Barbituriques, monocomposés;Barbituraten, enkelvoudig
N05CB;Barbituriques, associations;Barbituraten, combinatiepreparaten
N05CC;Aldéhydes et dérivés;Aldehyden en derivaten
N05CD;Benzodiazépines;Benzodiazepinederivaten
N05CE;Dérivés de la pipéridinedione;Piperidinedionderivaten
N05CF;Substances apparentées aux benzodiazépines;Stoffen verwant met benzodiazepines
N05CG;Imidazopyridines;Imidazopyridines
N05CM;Autres hypnotiques et sédatifs;Overige hypnotica en sedativa
N05CX;Hypnotiques et sédatifs, associations sauf les barbituriques;Hypnotica en sedativa combinatiepreparaten, excl. barbituraten
N06AA;Inhibiteurs non sélectifs du recaptage de monoamine;Niet selectieve monoamine reuptake inhibitoren
N06AB;Inhibiteurs sélectifs du recaptage de la sérotonine;Selectieve serotonine reuptake inhibitoren
N06AF;Inhibiteurs non sélectifs de la monoamine oxydase;Mao-remmers, niet-selectieve
N06AG;Inhibiteurs de la monoamine oxydase de type A;Mao-remmers type A
N06AX;Autres antidépresseurs;Overige antidepressiva
N06BA;Sympathicomimétiques à action centrale;Sympathicomimetica met centrale werking
N06BC;Dérivés xanthiques;Xanthinederivaten
N06BX;Autres psychostimulants et nootropes;Overige psychostimulantia en noötrope middelen
N06CA;Antidépresseurs associés à des psycholeptiques;Antidepressiva met psycholeptica
N06CB;Psychostimulants associés à des psycholeptiques;Psychostimulantia met psycholeptica
N06DA;Inhibiteurs de la cholinestérase;Cholinesteraseremmers
N06DX;Autres médicaments contre la démence;Overige middelen tegen dementie
N07AA;Inhibiteurs des cholinestérases;Cholinesteraseremmers
N07AB;Esters de la choline;Choline-esters
N07AX;Autres parasympathicomimétiques;Overige parasympathomimetica
N07BA;Produits contre le tabagisme;Middelen bij tabaksverslaving
N07BB;Médicaments traitant la dépendance à l'alcool;Middelen voor de behandeling van alcoholafhankelijkheid
N07BC;Médicaments traitant la dépendance aux opiacés;Middelen bij opiaatafhankelijkheid
N07CA;Préparations antivertigineuses;Antivertigo preparaten
N07XA;Gangliosides et dérivés;Gangliosiden en gangliosidederivaten
N07XX;Autres médicaments du système nerveux central;Overige middelen voor het centraal zenuwstelsel
P01AA;Dérivés de l'hydroxyquinoline;Hydroxychinolinederivaten
P01AB;Dérivés du nitroimidazole;Nitroimidazolederivaten
P01AC;Dérivés du dichloroacétamide;Dichloroaceetamide derivaten
P01AR;Composés arsenicaux;Arseenhoudende middelen
P01AX;Autres amoébicides;Overige amoebicide middelen
P01BA;Aminoquinolines;Aminochinolines
P01BB;Biguanides;Biguaniden
P01BC;Alcaloïdes dérivés de la quinine;Kinine-alkaloïden
P01BD;Diaminopyridines;Diamantpyrimidines
P01BE;Artemisinine et dérivés;Artemisinine en derivaten
P01BX;Autres antimalariques;Overige malariamiddelen
P01CA;Dérivés du nitroimidazole;Nitroimidazolederivaten
P01CB;Dérivés de l'antimoine;Antimoonverbindingen
P01CC;Dérivés du nitrofurane;Nitrofuraanderivaten
P01CD;Composés arsenicaux;Arseenverbindingen
P01CX;Autres agents contre la léismaniose et la trypanosomiase;Overige leishmaniasis- en trypanosomiasismiddelen
P02BA;Dérivés de la quinoline;Chinolinederivaten
P02BB;Composés organohosphores;Organische fosforverbindingen
P02BX;Autres agents actifs contre les trématodes;Overige anthelminthica tegen trematoden
P02CA;Dérivés du benzimidazole;Benzimidazolederivaten
P02CB;Pipérazine et ses dérivés;Piperazine en derivaten
P02CC;Dérivés de la tétrahydropyrimidine;Tetrahydropyrimidinederivaten
P02CE;Dérivés de l'imidazothiazole;Imidazothiazolederivaten
P02CF;Avermectines;Avermectines
P02CX;Autres agents actifs contre les nématodes;Overige anthelminthica tegen nematoden
P02DA;Dérivés de l'acide salicylique;Salicylzuurderivaten
P02DX;Autres agents actifs contre les cestodes;Overige anthelminthica tegen cestoden
P03AA;Préparations contenant du soufre;Zwavelbevattende middelen
P03AB;Préparations contenant du chlore;Chloorbevattende middelen
P03AC;Pyréthrines, dérivés synthétiques inclus;Pyretrinen, incl. synthetische verbindingen
P03AX;Autres ectoparasiticides, scabicides inclus;Overige ectoparacidiciden, incl. scabiesmiddelen
P03BA;Pyréthrines;Pyrethrinen
P03BX;Autres insecticides et repellants;Overige insecticiden en insectenwerende middelen
R01AA;Sympathicomimétiques, monocomposés;Sympathicomimetica
R01AB;Sympathicomimétiques, associations sauf avec corticostéroïdes;Sympathicomimetica, combinatiepreparaten, excl. corticosteroïden
R01AC;Antiallergiques, sauf les corticostéroïdes;Anti-allergische middelen, excl. corticosteroïden
R01AD;Corticostéroïdes;Corticosteroïden
R01AX;Autres préparations à usage nasal;Overige neuspreparaten
R01BA;Sympathicomimétiques;Sympathicomimetica
R02AA;Antiseptiques;Antiseptica
