ATC4;description_fr;description_nl
N05AB;Phénothiazines avec une structure pipérazinique;Fenothiazinen met piperazinestructuur                                           
N05AC;Phénothiazines avec une structure pipéridinique;Fenothiazinen met piperidinestruktuur                                           
N05AD;Dérivés de la butyrophénone;Butyrofenonderivaten                                                            
N05AF;Dérivés du thioxanthène;Thioxantheenderivaten                                                           
N05AG;Dérivés de la diphénylbutylpipéridine;Difenylbutylpiperidinederivaten                                                 
N05AH;Diazépines, oxazépines et thiazépines;Diazepinen, oxazepinen en thiazepinen                                           
N05AK;Neuroleptiques pour la dyskinésie tardive;Neuroleptica voor tardieve dyskinesie                                           
N05AL;Benzamides;Benzamiden                                                                      
N05AN;Sels de lithium;Lithiumzouten                                                                   
N05AX;Autres antipsychotiques (neuroleptiques);Overige antipsychotica (neuroleptica)                                           
N05CD;Benzodiazépines;Benzodiazepinederivaten                                                         
N05CM;Autres hypnotiques et sédatifs;Overige hypnotica en sedativa                                                   
N06AA;Inhibiteurs non sélectifs du recaptage de monoamine;Niet selectieve monoamine reuptake inhibitoren                                  
N06AB;Inhibiteurs sélectifs du recaptage de la sérotonine;Selectieve serotonine reuptake inhibitoren                                      
N06AG;Inhibiteurs de la monoamine oxydase de type A;Mao-remmers type A                                                              
N06AX;Autres antidépresseurs;Overige antidepressiva                                                          
N06BA;Sympathomimétiques à action centrale;Sympathicomimetica met centrale werking
N06BX;Autres psychostimulants et nootropes;Overige psychostimulantia en noötrope middelen                                  
N06DA;Inhibiteurs de la cholinestérase;Cholinesteraseremmers                                                           
N06DX;Autres médicaments contre la démence;Overige middelen tegen dementie                                                 
N07AA;Inhibiteurs des cholinestérases;Cholinesteraseremmers                                                           
N07AB;Esters de la choline;Choline-esters                                                                  
N07BA;Produits contre le tabagisme;Middelen bij tabaksverslaving                                                   
A01AB;Anti-infectieux à usage buccal;Anti-microbiële middelen voor gebruik in de mond
A02BA;Antihistaminiques H2;H2-receptorblokkerende middelen
A02BB;Prostaglandines;Prostaglandines
A02BC;Inhibiteurs de la pompe à protons;Inhibitoren van de protonpomp
A02BX;Autres substances pour le traitement de l'ulcère peptique;Overige ulcus pepticum middelen
A03AA;Anticholinergiques synthétiques, esters avec aminé tertiaire;Synthetische parasympathicolytica, esters met tertiaire aminogroep
A03AB;Anticholinergiques synthétiques, aminés quaternaires;Synthetische anti-cholinergica, kwaternaire ammoniumverbindingen
A03AD;Papavérine et dérives;Papaverine en derivaten
A03AX;Autres anticholinergiques synthétiques;Overige synthetische parasympathicolytica
A03BB;Alcaloïdes semisynthétiques de la belladone, ammonium quaternaire;Belladonna alkaloïden, semi-synthetische kwaternaire ammoniumverbindingen
A03FA;Procinétiques;Propulsiva
A04AA;Antagonistes de la sérotonine (5ht3);Serotonine (5ht3) antagonisten
A05AA;Acides biliaires;Galzuurpreparaten
A06AD;Laxatifs osmotiques;Osmotisch werkende laxantia
A07AA;Antibiotiques;Antibiotica
