rdrg;MP;rmdc;description_fr
813;M;21;813 AUTRES COMPLICATIONS DE TRAITEMENT
815;M;21;815 AUTRES DIAGNOSTICS DE BLESSURE, EMPOISONNEMENT, EFFETS TOXIQUES
816;M;21;816 EFFETS TOXIQUES DE SUBSTANCES NON MEDICAMENTEUSES
841;P;22;841 BRULURES EXTENSIVES DU TROISIEME DEGRE AVEC GREFFE DE PEAU
842;P;22;842 BRULURES  AVEC GREFFE DE PEAU EXCEPTE LES BRULURES EXTENSIVES DU 3EME DEGRE
843;M;22;843 BRULURES EXTENSIVES DU TROISIEME DEGRE OU DE L'EPAISSEUR TOTALE SANS GREFFE DE PEAU
844;M;22;844 BRULURES DE L'EPAISSEUR PARTIELLE SANS GREFFE DE PEAU
850;P;23;850 PROCEDURE AVEC DIAGNOSTIC DE REEDUCATION, SUITES DE SOINS OU AUTRE CONTACT AVEC SERVICES DE SANTE
860;M;23;860 REVALIDATION
861;M;23;861 SIGNES, SYMPTOMES ET AUTRES FACTEURS INFLUENCANT L'ETAT DE SANTE
862;M;23;862 AUTRE SUIVI DE SOINS ET CONVALESCENCE
863;M;23;863 SUIVI DE SOINS NEONATALS
890;M;24;890 HIV AVEC MULTIPLES AFFECTIONS MAJEURES EN RAPPORT AVEC LE HIV
892;M;24;892 HIV AVEC AFFECTIONS MAJEURES EN RAPPORT AVEC LE HIV
893;M;24;893 HIV AVEC AFFECTIONS SIGNIFICATIVES MULTIPLES EN RAPPORT AVEC LE HIV
894;M;24;894 HIV AVEC UNE/SANS AFFECTION SIGNIFICATIVE EN RAPPORT AVEC HIV
910;P;25;910 CRANIOTOMIE POUR POLYTRAUMATISME SIGNIFICATIF
911;P;25;911 PROCEDURE ABDOMINALE/THORACIQUE EXTENSIVE POUR POLYTRAUMATISME SIGNIFICATIF
912;P;25;912 PROCEDURES MUSCULOSQUELETTIQUES ET AUTRES POUR POLYTAUMATISME SIGNIFICATIF
930;M;25;930 POLYTRAUMATISME SIGNIFICATIF SANS PROCEDURE OPERATOIRE
950;P;FF;950 PROCEDURE EXTENSIVE SANS RELATION AVEC LE DIAGNOSTIC PRINCIPAL
951;P;FF;951 PROCEDURE MODEREMENT ETENDUE SANS RELATION AVEC LE DIAGNOSTIC PRINCIPAL
952;P;FF;952 PROCEDURE NON EXTENSIVE SANS RELATION AVEC LE DIAGNOSTIC PRINCIPAL
955;?;FF;955 DIAGNOSTIC PRINCIPAL NON VALABLE COMME DIAGNOSTIC DE SORTIE
956;?;FF;956 SEJOUR NON GROUPABLE
